INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
232000989,3410,,TOWED MOTOR VEHICLE,A1,111,0,2023-01-04 00:00:00+00,2023,1,Wednesday,0,,WEST ST,42.354591055686306,-71.06219009832506,"(42.354591055686306, -71.06219009832506)"
232000960,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11, ,0,2023-01-04 17:03:00+00,2023,1,Wednesday,17,,GRANITE AVE,42.27964029376284,-71.05445675138854,"(42.27964029376284, -71.05445675138854)"
232001970,3202,,PROPERTY - LOST THEN LOCATED,A1,77,0,2023-01-08 15:00:00+00,2023,1,Sunday,15,,SUDBURY ST,,,
232000471,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,2023-01-02 20:50:00+00,2023,1,Monday,20,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
232005855,3114,,INVESTIGATE PROPERTY,D4,155,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,W SPRINGFIELD ST,42.34041440607981,-71.08031699451574,"(42.34041440607981, -71.08031699451574)"
232001229,617,,LARCENY THEFT FROM BUILDING,B2,292,0,2023-01-05 00:00:00+00,2023,1,Thursday,0,,WASHINGTON ST,42.326665103332516,-71.08749031139891,"(42.326665103332516, -71.08749031139891)"
232016695,1102,,FRAUD - FALSE PRETENSE / SCHEME,C6,200,0,2023-01-06 00:01:00+00,2023,1,Friday,0,,W BROADWAY,42.341287504390436,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
232001442,1831,,SICK ASSIST,E13, ,0,2023-01-06 13:14:00+00,2023,1,Friday,13,,CENTRE ST,42.31265126143235,-71.11414509217491,"(42.31265126143235, -71.11414509217491)"
232001499,801,,ASSAULT - SIMPLE,B2,329,0,2023-01-06 16:28:00+00,2023,1,Friday,16,,WASHINGTON ST,42.305766857734,-71.08097517447082,"(42.305766857734, -71.08097517447082)"
232000039,1831,,SICK ASSIST,B2, ,0,2023-01-01 02:58:00+00,2023,1,Sunday,2,,ALBANY ST,42.33076941683259,-71.07766482167878,"(42.33076941683259, -71.07766482167878)"
232000468,724,,AUTO THEFT,B3,465,0,2023-01-02 20:57:00+00,2023,1,Monday,20,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
232000659,3006,,SICK/INJURED/MEDICAL - PERSON,D4, ,0,2023-01-03 15:49:00+00,2023,1,Tuesday,15,,HARRISON AVE,42.33893528651834,-71.07016501988292,"(42.33893528651834, -71.07016501988292)"
232000785,3410,,TOWED MOTOR VEHICLE,A1, ,0,2023-01-04 09:05:00+00,2023,1,Wednesday,9,,SALEM ST,42.36423880853,-71.05556015861133,"(42.36423880853, -71.05556015861133)"
232000372,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,329,0,2023-01-02 13:25:00+00,2023,1,Monday,13,,"GENEVA AVE & BLUE HILL AVE
BOSTON  MA 02121
UNITED",42.30869995352884,-71.08308001852748,"(42.30869995352884, -71.08308001852748)"
232000415,3201,,PROPERTY - LOST/ MISSING,C6,186,0,2023-01-02 13:30:00+00,2023,1,Monday,13,,ALLSTATE ROAD,,,
232000615,3115,,INVESTIGATE PERSON,A1,61,0,2023-01-03 11:10:00+00,2023,1,Tuesday,11,,CAUSEWAY STREET,,,
232001191,3301,,VERBAL DISPUTE,A1,79,0,2023-01-05 15:19:00+00,2023,1,Thursday,15,,BEVERLY ST,42.36542501541603,-71.0595764919967,"(42.36542501541603, -71.0595764919967)"
232000230,801,,ASSAULT - SIMPLE,C11,252,0,2023-01-01 19:30:00+00,2023,1,Sunday,19,,SAVIN HILL AVE,42.310202715098534,-71.05168470473069,"(42.310202715098534, -71.05168470473069)"
232000357,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,2023-01-02 10:00:00+00,2023,1,Monday,10,,NEW SUDBURY ST,42.361838566564714,-71.05976489094158,"(42.361838566564714, -71.05976489094158)"
232000469,724,,AUTO THEFT,B3,465,0,2023-01-02 21:03:00+00,2023,1,Monday,21,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
232015828,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232000608,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,2023-01-03 11:15:00+00,2023,1,Tuesday,11,,SUDBURY ST,,,
232000885,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A1, ,0,2023-01-04 14:16:00+00,2023,1,Wednesday,14,,"CAMBRIDGE ST & BOWDOIN ST
BOSTON  MA 02114
UNITED ",42.36118997824122,-71.0628599412942,"(42.36118997824122, -71.0628599412942)"
232001182,423,,ASSAULT - AGGRAVATED,D14, ,0,2023-01-05 15:19:00+00,2023,1,Thursday,15,,GOODENOUGH ST,42.35620473429912,-71.154218538476,"(42.35620473429912, -71.154218538476)"
232001450,1831,,SICK ASSIST,B2, ,0,2023-01-06 13:15:00+00,2023,1,Friday,13,,WAIT ST,42.33223959320677,-71.10639956239197,"(42.33223959320677, -71.10639956239197)"
232002202,3115,,INVESTIGATE PERSON,E5,691,0,2023-01-09 14:23:00+00,2023,1,Monday,14,,CENTRE ST,42.28709355259107,-71.14822128377165,"(42.28709355259107, -71.14822128377165)"
232000696,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,133,0,2023-01-03 18:36:00+00,2023,1,Tuesday,18,,"NEWBURY ST & CLARENDON ST
BOSTON  MA 02116
UNITED ",42.35145001156933,-71.07559995165965,"(42.35145001156933, -71.07559995165965)"
232000959,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18, ,0,2023-01-04 18:15:00+00,2023,1,Wednesday,18,,BLAKE ST,42.26893891220924,-71.10477517267664,"(42.26893891220924, -71.10477517267664)"
232000969,2907,,VAL - OPERATING AFTER REV/SUSP.,D4,141,0,2023-01-04 18:15:00+00,2023,1,Wednesday,18,,"NEWBURY ST & MASSACHUSETTS AVE
BOSTON  MA 02115
UN",42.348109957250266,-71.08816003593289,"(42.348109957250266, -71.08816003593289)"
232001489,1402,,VANDALISM,B3,465,0,2023-01-06 16:32:00+00,2023,1,Friday,16,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
232000042,801,,ASSAULT - SIMPLE,C11, ,0,2023-01-01 03:00:00+00,2023,1,Sunday,3,,HAMILTON ST,42.306586549100324,-71.06747888902795,"(42.306586549100324, -71.06747888902795)"
232000788,3001,,DEATH INVESTIGATION,D4, ,0,2023-01-04 09:10:00+00,2023,1,Wednesday,9,,SAINT BOTOLPH ST,42.34295139211298,-71.08314540184752,"(42.34295139211298, -71.08314540184752)"
232001425,3410,,TOWED MOTOR VEHICLE,C11, ,0,2023-01-06 11:51:00+00,2023,1,Friday,11,,DALY ST,42.29305398774405,-71.05600861084665,"(42.29305398774405, -71.05600861084665)"
232000223,3115,,INVESTIGATE PERSON,A7,942,0,2023-01-01 19:35:00+00,2023,1,Sunday,19,,VALLAR RD,42.39269663200214,-71.00842413382442,"(42.39269663200214, -71.00842413382442)"
232000709,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,414,0,2023-01-02 14:00:00+00,2023,1,Monday,14,,CLANCY RD,42.27758393563115,-71.07099158545101,"(42.27758393563115, -71.07099158545101)"
232000404,3119,,FIREARM/WEAPON - FOUND OR CONFISCATED,B2, ,0,2023-01-02 17:09:00+00,2023,1,Monday,17,,BLUE HILL AVE,42.32386049638957,-71.07600196001,"(42.32386049638957, -71.07600196001)"
232000660,301,,ROBBERY,C11, ,0,2023-01-03 15:55:00+00,2023,1,Tuesday,15,,"TALBOT AVE & WASHINGTON ST
BOSTON  MA 02124
UNITED",42.29021995634817,-71.07160998453125,"(42.29021995634817, -71.07160998453125)"
232000957,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,235,0,2023-01-04 17:05:00+00,2023,1,Wednesday,17,,"DORCHESTER AVE & EDISON GRN
DORCHESTER  MA 02125
U",42.31907998947441,-71.05674896365953,"(42.31907998947441, -71.05674896365953)"
232001449,613,,LARCENY SHOPLIFTING,B3,406,0,2023-01-06 11:53:00+00,2023,1,Friday,11,,RIVER ST,42.27130225372019,-71.07442361965835,"(42.27130225372019, -71.07442361965835)"
232000263,3115,,INVESTIGATE PERSON,B2, ,0,2023-01-02 02:07:00+00,2023,1,Monday,2,,"COLUMBIA RD & QUINCY ST
DORCHESTER  MA 02125
UNITE",42.311265022174986,-71.07004002865303,"(42.311265022174986, -71.07004002865303)"
232000413,3115,,INVESTIGATE PERSON,D14,795,0,2023-01-02 17:15:00+00,2023,1,Monday,17,,COMMONWEALTH AVE,42.34900739248947,-71.13860107573626,"(42.34900739248947, -71.13860107573626)"
232000472,1831,,SICK ASSIST,C6, ,0,2023-01-02 21:06:00+00,2023,1,Monday,21,,"WARD ST & PREBLE ST
SOUTH BOSTON  MA 02127
UNITED ",42.329224961492216,-71.05425006032372,"(42.329224961492216, -71.05425006032372)"
232001181,3201,,PROPERTY - LOST/ MISSING,D4,167,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,HARRISON AVE,42.33954198983014,-71.06940876967543,"(42.33954198983014, -71.06940876967543)"
232000538,3801,,M/V ACCIDENT - OTHER,A1, ,0,2023-01-03 06:10:00+00,2023,1,Tuesday,6,,"ATLANTIC AVE & CONGRESS ST
BOSTON  MA 02210
UNITED",42.35365997325632,-71.05353994704373,"(42.35365997325632, -71.05353994704373)"
232000575,1001,,FORGERY / COUNTERFEITING,A1, ,0,2023-01-03 11:00:00+00,2023,1,Tuesday,11,,FRANKLIN ST,42.35669328600136,-71.0537458164878,"(42.35669328600136, -71.0537458164878)"
232000883,3115,,INVESTIGATE PERSON,E18, ,0,2023-01-04 14:20:00+00,2023,1,Wednesday,14,,TRUMAN PKWY,42.23651385872607,-71.12503428861686,"(42.23651385872607, -71.12503428861686)"
232001398,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,355,0,2023-01-05 21:30:00+00,2023,1,Thursday,21,,GIBSON ST,42.29755532959655,-71.05970910242573,"(42.29755532959655, -71.05970910242573)"
232001574,2905,,VAL - VIOLATION OF AUTO LAW,D14,800,0,2023-01-06 21:53:00+00,2023,1,Friday,21,,"LINDEN ST & PRATT ST
BRIGHTON  MA 02134
UNITED STA",42.3547630222276,-71.13051205488831,"(42.3547630222276, -71.13051205488831)"
232000240,3201,,PROPERTY - LOST/ MISSING,D14,798,0,2023-01-01 10:00:00+00,2023,1,Sunday,10,,COMMONWEALTH AVE,42.35199202727546,-71.12223340770356,"(42.35199202727546, -71.12223340770356)"
232000226,2905,,VAL - VIOLATION OF AUTO LAW,A7, ,0,2023-01-01 20:03:00+00,2023,1,Sunday,20,,BENNINGTON ST,42.39027074403784,-70.99676863500154,"(42.39027074403784, -70.99676863500154)"
232001090,3115,,INVESTIGATE PERSON,B2,282,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
232000772,619,,LARCENY ALL OTHERS,D14, ,0,2023-01-03 06:19:00+00,2023,1,Tuesday,6,,N BEACON ST,42.35595677470234,-71.14830893478873,"(42.35595677470234, -71.14830893478873)"
232000576,3201,,PROPERTY - LOST/ MISSING,B2, ,0,2023-01-03 11:19:00+00,2023,1,Tuesday,11,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
232000798,3410,,TOWED MOTOR VEHICLE,C11,462,0,2023-01-04 09:15:00+00,2023,1,Wednesday,9,,NOTTINGHAM ST,42.301168107379056,-71.0734757063484,"(42.301168107379056, -71.0734757063484)"
232001269,3114,,INVESTIGATE PROPERTY,B3, ,0,2023-01-05 19:41:00+00,2023,1,Thursday,19,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
232001551,3502,,MISSING PERSON - LOCATED,B2, ,0,2023-01-06 19:45:00+00,2023,1,Friday,19,,WAYLAND ST,42.31368924628508,-71.07427079597184,"(42.31368924628508, -71.07427079597184)"
232000038,617,,LARCENY THEFT FROM BUILDING,D4,162,0,2023-01-01 03:00:00+00,2023,1,Sunday,3,,HARRISON AVE,42.346160912670726,-71.06318141609866,"(42.346160912670726, -71.06318141609866)"
232000186,2657,,VIOLATION - CITY ORDINANCE,A1, ,0,2023-01-01 16:42:00+00,2023,1,Sunday,16,,"SUMMER ST & WASHINGTON ST
BOSTON  MA 02111
UNITED ",42.355459009172286,-71.06052396918244,"(42.355459009172286, -71.06052396918244)"
232000232,301,,ROBBERY,A1,123,0,2023-01-01 20:30:00+00,2023,1,Sunday,20,,"WASHINGTON ST & STUART ST
BOSTON  MA 02111
UNITED ",42.350920016143384,-71.06302994081167,"(42.350920016143384, -71.06302994081167)"
230003512,3018,,SICK/INJURED/MEDICAL - POLICE,A1,102,0,2023-01-03 00:00:00+00,2023,1,Tuesday,0,,WINTER ST,42.35602373388715,-71.06177615141588,"(42.35602373388715, -71.06177615141588)"
232000609,724,,AUTO THEFT,, ,0,2023-01-03 13:15:00+00,2023,1,Tuesday,13,,COMMONWEALTH AVENUE,,,
232003086,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2023-01-04 12:00:00+00,2023,1,Wednesday,12,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
232001324,3115,,INVESTIGATE PERSON,E18,520,0,2023-01-05 00:00:00+00,2023,1,Thursday,0,,HYDE PARK AVE,42.256215920402155,-71.12401947329023,"(42.256215920402155, -71.12401947329023)"
232001063,3115,,INVESTIGATE PERSON,B2, ,0,2023-01-05 07:29:00+00,2023,1,Thursday,7,,HOMESTEAD ST,42.31127725586286,-71.08909334113278,"(42.31127725586286, -71.08909334113278)"
232001275,3114,,INVESTIGATE PROPERTY,B3, ,1,2023-01-05 19:43:00+00,2023,1,Thursday,19,,TALBOT AVE,42.293382827988424,-71.08277624959193,"(42.293382827988424, -71.08277624959193)"
232000090,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4, ,0,2023-01-01 10:19:00+00,2023,1,Sunday,10,,DALTON ST,42.346343125022024,-71.08482012772042,"(42.346343125022024, -71.08482012772042)"
232000174,3115,,INVESTIGATE PERSON,C11,350,0,2023-01-01 16:43:00+00,2023,1,Sunday,16,,DORCHESTER AVE,42.301750490897405,-71.05973399600256,"(42.301750490897405, -71.05973399600256)"
232000355,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2023-01-02 14:03:00+00,2023,1,Monday,14,,E BROADWAY,42.335468125482045,-71.04489149473773,"(42.335468125482045, -71.04489149473773)"
232000477,2905,,VAL - VIOLATION OF AUTO LAW,B2,320,0,2023-01-02 21:11:00+00,2023,1,Monday,21,,"ELM HILL AVE & WARREN ST
ROXBURY  MA 02121
UNITED ",42.31308401558475,-71.08354302120159,"(42.31308401558475, -71.08354302120159)"
232000791,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,2023-01-04 09:24:00+00,2023,1,Wednesday,9,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
232000949,1831,,SICK ASSIST,B2,238,0,2023-01-04 17:12:00+00,2023,1,Wednesday,17,,"DUDLEY ST & MONADNOCK ST
BOSTON  MA 02125
UNITED S",42.31800000815894,-71.06729003184827,"(42.31800000815894, -71.06729003184827)"
232000370,3114,,INVESTIGATE PROPERTY,B2, ,0,2023-01-02 14:08:00+00,2023,1,Monday,14,,"WARREN ST & DUDLEY ST
ROXBURY  MA 02119
UNITED STA",42.328657016948966,-71.0834519549857,"(42.328657016948966, -71.0834519549857)"
232000847,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,239,0,2023-01-04 00:00:00+00,2023,1,Wednesday,0,,"COLUMBIA RD & DUDLEY ST
DORCHESTER  MA 02125
UNITE",42.31705298210659,-71.0652140008863,"(42.31705298210659, -71.0652140008863)"
232001108,3201,,PROPERTY - LOST/ MISSING,D4, ,0,2023-01-05 11:30:00+00,2023,1,Thursday,11,,HAMMOND ST,42.33503480952617,-71.08240248062698,"(42.33503480952617, -71.08240248062698)"
232000095,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,C11,257,0,2023-01-01 10:27:00+00,2023,1,Sunday,10,,UPHAM AVE,42.31537219950329,-71.06504716207324,"(42.31537219950329, -71.06504716207324)"
232000233,3410,,TOWED MOTOR VEHICLE,C6, ,0,2023-01-01 20:30:00+00,2023,1,Sunday,20,,DORCHESTER ST,42.33597777894149,-71.04484195108597,"(42.33597777894149, -71.04484195108597)"
232000447,3803,,M/V ACCIDENT - PERSONAL INJURY,E5, ,0,2023-01-02 17:29:00+00,2023,1,Monday,17,,TEMPLE ST,42.28397302380004,-71.16690592245703,"(42.28397302380004, -71.16690592245703)"
232000930,3115,,INVESTIGATE PERSON,C6, ,0,2023-01-04 17:13:00+00,2023,1,Wednesday,17,,W BROADWAY,42.341287504390436,-71.05467932649397,"(42.341287504390436, -71.05467932649397)"
232002431,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,282,0,2023-01-05 00:00:00+00,2023,1,Thursday,0,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
232001642,3502,,MISSING PERSON - LOCATED,B2, ,0,2023-01-06 20:00:00+00,2023,1,Friday,20,,SEAVER ST,42.305053762619885,-71.08403633216712,"(42.305053762619885, -71.08403633216712)"
232000049,801,,ASSAULT - SIMPLE,E18, ,0,2023-01-01 03:03:00+00,2023,1,Sunday,3,,WOOD AVE,42.2662963332814,-71.11096143446942,"(42.2662963332814, -71.11096143446942)"
232000747,1402,,VANDALISM,B2, ,0,2023-01-04 00:04:00+00,2023,1,Wednesday,0,,NORFOLK AVE,42.32367934722134,-71.06785645421007,"(42.32367934722134, -71.06785645421007)"
232000763,3301,,VERBAL DISPUTE,B2, ,0,2023-01-04 00:08:00+00,2023,1,Wednesday,0,,DIMOCK ST,42.31949779193633,-71.09707351753512,"(42.31949779193633, -71.09707351753512)"
232002101,2905,,VAL - VIOLATION OF AUTO LAW,A1, ,0,2023-01-04 17:14:00+00,2023,1,Wednesday,17,,CHAUNCY ST,42.35285118040311,-71.06096411490165,"(42.35285118040311, -71.06096411490165)"
